                                     american rob    barred owl          bird      blue jay  canada goose  carolina chi  cooper's haw        coyote    cricetidae  domestic cat  domestic dog  downy woodpe  eastern blue  eastern chip  eastern gray  eastern phoe  eastern whip  eastern wood  great blue h  hermit thrus   house finch         human  long-tailed           moth  mourning dov  northern car  northern moc     passerine       raccoon        raptor  red-shoulder  southern fly        spider        thrush       unknown  virginia opo  white-tailed     wild boar
                     american robin             2             0            18             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
                         barred owl             0             0            14             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
                               bird             0             0             3             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             9             0
                           blue jay             0             0             2             3             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
                       canada goose             0             0           353             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
                 carolina chickadee             0             0             0             0             0             0             0             0             0             0             0             0             0             0             2             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
                      cooper's hawk             0             0             4             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
                             coyote             0             0             0             0             0             0             0            71             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             4             0
                         cricetidae             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0
                       domestic cat             0             0             0             0             0             0             0             0             0            15             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
                       domestic dog             0             0             0             0             0             0             0             0             0             0            37             0             0             0             0             0             0             0             0             0             0             2             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
                   downy woodpecker             0             0             3             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
                   eastern bluebird             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
